"time","stranka","skupina","rezultati_vsi","rezultati_vsi_nad4","rezultati_brez","rezultati_brez_nad4","job_name","job_version","job_timestamp"
"2026-03-22 11:45:06","LISTA MARJANA ŠARCA - LMŠ","others",1.8323,0.0,1.6357,0.0,"main.py",3,"2026-03-22 11:45:06"
"2026-03-22 11:45:06","Lista Borisa Popoviča - Digitalizirajmo Slovenijo","others",0.237,0.0,0.237,0.0,"main.py",3,"2026-03-22 11:45:06"
"2026-03-22 11:45:06","NAŠA DEŽELA stranka dr. ALEKSANDRE PIVEC","democrats",1.2774,0.0,1.1676,0.0,"main.py",3,"2026-03-22 11:45:06"
"2026-03-22 11:45:06","NAŠA PRIHODNOST IN DOBRA DRŽAVA","others",1.0982,0.0,0.9826,0.0,"main.py",3,"2026-03-22 11:45:06"
"2026-03-22 11:45:06","NESTRANKARSKA LJUDSKA LISTA GIBANJA ZDRAVA DRUŽBA","others",1.0866,0.0,0.9768,0.0,"main.py",3,"2026-03-22 11:45:06"
"2026-03-22 11:45:06","NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI","democrats",7.9706,7.9706,7.5718,7.5718,"main.py",3,"2026-03-22 11:45:06"
"2026-03-22 11:45:06","PIRATSKA STRANKA SLOVENIJE","others",1.0693,0.0,0.9653,0.0,"main.py",3,"2026-03-22 11:45:06"
"2026-03-22 11:45:06","POVEŽIMO SLOVENIJO (KONKRETNO, ZELENI, SLS, NLS, NS)","democrats",2.3525,0.0,2.2195,0.0,"main.py",3,"2026-03-22 11:45:06"
"2026-03-22 11:45:06","SLOVENSKA DEMOKRATSKA STRANKA - SDS","democrats",19.3052,19.3052,17.9585,17.9585,"main.py",3,"2026-03-22 11:45:06"
"2026-03-22 11:45:06","SLOVENSKA NACIONALNA STRANKA - SNS","others",1.6473,0.0,1.5606,0.0,"main.py",3,"2026-03-22 11:45:06"
"2026-03-22 11:45:06","SOCIALNI DEMOKRATI - SD","others",4.2078,4.2078,3.6819,0.0,"main.py",3,"2026-03-22 11:45:06"
"2026-03-22 11:45:06","STRANKA ALENKE BRATUŠEK","others",2.1328,0.0,1.9305,0.0,"main.py",3,"2026-03-22 11:45:06"
"2026-03-22 11:45:06","VESNA - zelena stranka","others",1.0924,0.0,0.9768,0.0,"main.py",3,"2026-03-22 11:45:06"
"2026-03-22 11:45:06","ZA LJUDSTVO SLOVENIJE  - ZLS","others",0.8843,0.0,0.8034,0.0,"main.py",3,"2026-03-22 11:45:06"
"2026-03-22 11:50:06","DOMOVINSKA LIGA - DOM","others",0.0751,0.0,0.0694,0.0,"main.py",3,"2026-03-22 11:50:06"
"2026-03-22 11:50:06","DeSUS - DEMOKRATIČNA STRANKA UPOKOJENCEV SLOVENIJE","others",0.5029,0.0,0.4682,0.0,"main.py",3,"2026-03-22 11:50:06"
"2026-03-22 11:50:06","Državljansko gibanje Resni.ca","others",2.1155,0.0,1.9825,0.0,"main.py",3,"2026-03-22 11:50:06"
"2026-03-22 11:50:06","GIBANJE SVOBODA","others",23.49,23.49,20.5826,20.5826,"main.py",3,"2026-03-22 11:50:06"
"2026-03-22 11:50:06","LEVICA","others",1.9652,0.0,1.7571,0.0,"main.py",3,"2026-03-22 11:50:06"
"2026-03-22 11:50:06","LISTA MARJANA ŠARCA - LMŠ","others",1.8323,0.0,1.6357,0.0,"main.py",3,"2026-03-22 11:50:06"
"2026-03-22 11:50:06","Lista Borisa Popoviča - Digitalizirajmo Slovenijo","others",0.237,0.0,0.237,0.0,"main.py",3,"2026-03-22 11:50:06"
"2026-03-22 11:50:06","NAŠA DEŽELA stranka dr. ALEKSANDRE PIVEC","democrats",1.2774,0.0,1.1676,0.0,"main.py",3,"2026-03-22 11:50:06"
"2026-03-22 11:50:06","NAŠA PRIHODNOST IN DOBRA DRŽAVA","others",1.0982,0.0,0.9826,0.0,"main.py",3,"2026-03-22 11:50:06"
"2026-03-22 11:50:06","NESTRANKARSKA LJUDSKA LISTA GIBANJA ZDRAVA DRUŽBA","others",1.0866,0.0,0.9768,0.0,"main.py",3,"2026-03-22 11:50:06"
"2026-03-22 11:50:06","NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI","democrats",7.9706,7.9706,7.5718,7.5718,"main.py",3,"2026-03-22 11:50:06"
"2026-03-22 11:50:06","PIRATSKA STRANKA SLOVENIJE","others",1.0693,0.0,0.9653,0.0,"main.py",3,"2026-03-22 11:50:06"
"2026-03-22 11:50:06","POVEŽIMO SLOVENIJO (KONKRETNO, ZELENI, SLS, NLS, NS)","democrats",2.3525,0.0,2.2195,0.0,"main.py",3,"2026-03-22 11:50:06"
"2026-03-22 11:50:06","SLOVENSKA DEMOKRATSKA STRANKA - SDS","democrats",19.3052,19.3052,17.9585,17.9585,"main.py",3,"2026-03-22 11:50:06"
"2026-03-22 11:50:06","SLOVENSKA NACIONALNA STRANKA - SNS","others",1.6473,0.0,1.5606,0.0,"main.py",3,"2026-03-22 11:50:06"
"2026-03-22 11:50:06","SOCIALNI DEMOKRATI - SD","others",4.2078,4.2078,3.6819,0.0,"main.py",3,"2026-03-22 11:50:06"
"2026-03-22 11:50:06","STRANKA ALENKE BRATUŠEK","others",2.1328,0.0,1.9305,0.0,"main.py",3,"2026-03-22 11:50:06"
"2026-03-22 11:50:06","VESNA - zelena stranka","others",1.0924,0.0,0.9768,0.0,"main.py",3,"2026-03-22 11:50:06"
"2026-03-22 11:50:06","ZA LJUDSTVO SLOVENIJE  - ZLS","others",0.8843,0.0,0.8034,0.0,"main.py",3,"2026-03-22 11:50:06"
"2026-03-22 11:54:35","DOMOVINSKA LIGA - DOM","others",0.0751,0.0,0.0694,0.0,"main.py",3,"2026-03-22 11:54:35"
"2026-03-22 11:54:35","DeSUS - DEMOKRATIČNA STRANKA UPOKOJENCEV SLOVENIJE","others",0.5029,0.0,0.4682,0.0,"main.py",3,"2026-03-22 11:54:35"
"2026-03-22 11:54:35","Državljansko gibanje Resni.ca","others",2.1155,0.0,1.9825,0.0,"main.py",3,"2026-03-22 11:54:35"
"2026-03-22 11:54:35","GIBANJE SVOBODA","others",23.49,23.49,20.5826,20.5826,"main.py",3,"2026-03-22 11:54:35"
"2026-03-22 11:54:35","LEVICA","others",1.9652,0.0,1.7571,0.0,"main.py",3,"2026-03-22 11:54:35"
"2026-03-22 11:54:35","LISTA MARJANA ŠARCA - LMŠ","others",1.8323,0.0,1.6357,0.0,"main.py",3,"2026-03-22 11:54:35"
"2026-03-22 11:54:35","Lista Borisa Popoviča - Digitalizirajmo Slovenijo","others",0.237,0.0,0.237,0.0,"main.py",3,"2026-03-22 11:54:35"
"2026-03-22 11:54:35","NAŠA DEŽELA stranka dr. ALEKSANDRE PIVEC","democrats",1.2774,0.0,1.1676,0.0,"main.py",3,"2026-03-22 11:54:35"
"2026-03-22 11:54:35","NAŠA PRIHODNOST IN DOBRA DRŽAVA","others",1.0982,0.0,0.9826,0.0,"main.py",3,"2026-03-22 11:54:35"
"2026-03-22 11:54:35","NESTRANKARSKA LJUDSKA LISTA GIBANJA ZDRAVA DRUŽBA","others",1.0866,0.0,0.9768,0.0,"main.py",3,"2026-03-22 11:54:35"
"2026-03-22 11:54:35","NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI","democrats",7.9706,7.9706,7.5718,7.5718,"main.py",3,"2026-03-22 11:54:35"
"2026-03-22 11:54:35","PIRATSKA STRANKA SLOVENIJE","others",1.0693,0.0,0.9653,0.0,"main.py",3,"2026-03-22 11:54:35"
"2026-03-22 11:54:35","POVEŽIMO SLOVENIJO (KONKRETNO, ZELENI, SLS, NLS, NS)","democrats",2.3525,0.0,2.2195,0.0,"main.py",3,"2026-03-22 11:54:35"
"2026-03-22 11:54:35","SLOVENSKA DEMOKRATSKA STRANKA - SDS","democrats",19.3052,19.3052,17.9585,17.9585,"main.py",3,"2026-03-22 11:54:35"
"2026-03-22 11:54:35","SLOVENSKA NACIONALNA STRANKA - SNS","others",1.6473,0.0,1.5606,0.0,"main.py",3,"2026-03-22 11:54:35"
"2026-03-22 11:54:35","SOCIALNI DEMOKRATI - SD","others",4.2078,4.2078,3.6819,0.0,"main.py",3,"2026-03-22 11:54:35"
"2026-03-22 11:54:35","STRANKA ALENKE BRATUŠEK","others",2.1328,0.0,1.9305,0.0,"main.py",3,"2026-03-22 11:54:35"
"2026-03-22 11:54:35","VESNA - zelena stranka","others",1.0924,0.0,0.9768,0.0,"main.py",3,"2026-03-22 11:54:35"
"2026-03-22 11:54:35","ZA LJUDSTVO SLOVENIJE  - ZLS","others",0.8843,0.0,0.8034,0.0,"main.py",3,"2026-03-22 11:54:35"
"2026-03-22 11:55:05","DOMOVINSKA LIGA - DOM","others",0.0751,0.0,0.0694,0.0,"main.py",3,"2026-03-22 11:55:05"
"2026-03-22 11:55:05","DeSUS - DEMOKRATIČNA STRANKA UPOKOJENCEV SLOVENIJE","others",0.5029,0.0,0.4682,0.0,"main.py",3,"2026-03-22 11:55:05"
"2026-03-22 11:55:05","Državljansko gibanje Resni.ca","others",2.1155,0.0,1.9825,0.0,"main.py",3,"2026-03-22 11:55:05"
"2026-03-22 11:55:05","GIBANJE SVOBODA","others",23.49,23.49,20.5826,20.5826,"main.py",3,"2026-03-22 11:55:05"
"2026-03-22 11:55:05","LEVICA","others",1.9652,0.0,1.7571,0.0,"main.py",3,"2026-03-22 11:55:05"
"2026-03-22 11:55:05","LISTA MARJANA ŠARCA - LMŠ","others",1.8323,0.0,1.6357,0.0,"main.py",3,"2026-03-22 11:55:05"
"2026-03-22 11:55:05","Lista Borisa Popoviča - Digitalizirajmo Slovenijo","others",0.237,0.0,0.237,0.0,"main.py",3,"2026-03-22 11:55:05"
"2026-03-22 11:55:05","NAŠA DEŽELA stranka dr. ALEKSANDRE PIVEC","democrats",1.2774,0.0,1.1676,0.0,"main.py",3,"2026-03-22 11:55:05"
"2026-03-22 11:55:05","NAŠA PRIHODNOST IN DOBRA DRŽAVA","others",1.0982,0.0,0.9826,0.0,"main.py",3,"2026-03-22 11:55:05"
"2026-03-22 11:55:05","NESTRANKARSKA LJUDSKA LISTA GIBANJA ZDRAVA DRUŽBA","others",1.0866,0.0,0.9768,0.0,"main.py",3,"2026-03-22 11:55:05"
"2026-03-22 11:55:05","NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI","democrats",7.9706,7.9706,7.5718,7.5718,"main.py",3,"2026-03-22 11:55:05"
"2026-03-22 11:55:05","PIRATSKA STRANKA SLOVENIJE","others",1.0693,0.0,0.9653,0.0,"main.py",3,"2026-03-22 11:55:05"
"2026-03-22 11:55:05","POVEŽIMO SLOVENIJO (KONKRETNO, ZELENI, SLS, NLS, NS)","democrats",2.3525,0.0,2.2195,0.0,"main.py",3,"2026-03-22 11:55:05"
"2026-03-22 11:55:05","SLOVENSKA DEMOKRATSKA STRANKA - SDS","democrats",19.3052,19.3052,17.9585,17.9585,"main.py",3,"2026-03-22 11:55:05"
"2026-03-22 11:55:05","SLOVENSKA NACIONALNA STRANKA - SNS","others",1.6473,0.0,1.5606,0.0,"main.py",3,"2026-03-22 11:55:05"
"2026-03-22 11:55:05","SOCIALNI DEMOKRATI - SD","others",4.2078,4.2078,3.6819,0.0,"main.py",3,"2026-03-22 11:55:05"
"2026-03-22 11:55:05","STRANKA ALENKE BRATUŠEK","others",2.1328,0.0,1.9305,0.0,"main.py",3,"2026-03-22 11:55:05"
"2026-03-22 11:55:05","VESNA - zelena stranka","others",1.0924,0.0,0.9768,0.0,"main.py",3,"2026-03-22 11:55:05"
"2026-03-22 11:55:05","ZA LJUDSTVO SLOVENIJE  - ZLS","others",0.8843,0.0,0.8034,0.0,"main.py",3,"2026-03-22 11:55:05"
"2026-03-22 12:00:06","DOMOVINSKA LIGA - DOM","others",0.0751,0.0,0.0694,0.0,"main.py",3,"2026-03-22 12:00:06"
"2026-03-22 12:00:06","DeSUS - DEMOKRATIČNA STRANKA UPOKOJENCEV SLOVENIJE","others",0.5029,0.0,0.4682,0.0,"main.py",3,"2026-03-22 12:00:06"
"2026-03-22 12:00:06","Državljansko gibanje Resni.ca","others",2.1155,0.0,1.9825,0.0,"main.py",3,"2026-03-22 12:00:06"
"2026-03-22 12:00:06","GIBANJE SVOBODA","others",23.49,23.49,20.5826,20.5826,"main.py",3,"2026-03-22 12:00:06"
"2026-03-22 12:00:06","LEVICA","others",1.9652,0.0,1.7571,0.0,"main.py",3,"2026-03-22 12:00:06"
"2026-03-22 12:00:06","LISTA MARJANA ŠARCA - LMŠ","others",1.8323,0.0,1.6357,0.0,"main.py",3,"2026-03-22 12:00:06"
"2026-03-22 12:00:06","Lista Borisa Popoviča - Digitalizirajmo Slovenijo","others",0.237,0.0,0.237,0.0,"main.py",3,"2026-03-22 12:00:06"
"2026-03-22 12:00:06","NAŠA DEŽELA stranka dr. ALEKSANDRE PIVEC","democrats",1.2774,0.0,1.1676,0.0,"main.py",3,"2026-03-22 12:00:06"
"2026-03-22 12:00:06","NAŠA PRIHODNOST IN DOBRA DRŽAVA","others",1.0982,0.0,0.9826,0.0,"main.py",3,"2026-03-22 12:00:06"
"2026-03-22 12:00:06","NESTRANKARSKA LJUDSKA LISTA GIBANJA ZDRAVA DRUŽBA","others",1.0866,0.0,0.9768,0.0,"main.py",3,"2026-03-22 12:00:06"
"2026-03-22 12:00:06","NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI","democrats",7.9706,7.9706,7.5718,7.5718,"main.py",3,"2026-03-22 12:00:06"
"2026-03-22 12:00:06","PIRATSKA STRANKA SLOVENIJE","others",1.0693,0.0,0.9653,0.0,"main.py",3,"2026-03-22 12:00:06"
"2026-03-22 12:00:06","POVEŽIMO SLOVENIJO (KONKRETNO, ZELENI, SLS, NLS, NS)","democrats",2.3525,0.0,2.2195,0.0,"main.py",3,"2026-03-22 12:00:06"
"2026-03-22 12:00:06","SLOVENSKA DEMOKRATSKA STRANKA - SDS","democrats",19.3052,19.3052,17.9585,17.9585,"main.py",3,"2026-03-22 12:00:06"
"2026-03-22 12:00:06","SLOVENSKA NACIONALNA STRANKA - SNS","others",1.6473,0.0,1.5606,0.0,"main.py",3,"2026-03-22 12:00:06"
"2026-03-22 12:00:06","SOCIALNI DEMOKRATI - SD","others",4.2078,4.2078,3.6819,0.0,"main.py",3,"2026-03-22 12:00:06"
"2026-03-22 12:00:06","STRANKA ALENKE BRATUŠEK","others",2.1328,0.0,1.9305,0.0,"main.py",3,"2026-03-22 12:00:06"
"2026-03-22 12:00:06","VESNA - zelena stranka","others",1.0924,0.0,0.9768,0.0,"main.py",3,"2026-03-22 12:00:06"
"2026-03-22 12:00:06","ZA LJUDSTVO SLOVENIJE  - ZLS","others",0.8843,0.0,0.8034,0.0,"main.py",3,"2026-03-22 12:00:06"
"2026-03-22 12:03:15","DOMOVINSKA LIGA - DOM","others",0.0751,0.0,0.0694,0.0,"main.py",3,"2026-03-22 12:03:15"
"2026-03-22 12:03:15","DeSUS - DEMOKRATIČNA STRANKA UPOKOJENCEV SLOVENIJE","others",0.5029,0.0,0.4682,0.0,"main.py",3,"2026-03-22 12:03:15"
"2026-03-22 12:03:15","Državljansko gibanje Resni.ca","others",2.1155,0.0,1.9825,0.0,"main.py",3,"2026-03-22 12:03:15"
"2026-03-22 12:03:15","GIBANJE SVOBODA","others",23.49,23.49,20.5826,20.5826,"main.py",3,"2026-03-22 12:03:15"
"2026-03-22 12:03:15","LEVICA","others",1.9652,0.0,1.7571,0.0,"main.py",3,"2026-03-22 12:03:15"
"2026-03-22 12:03:15","LISTA MARJANA ŠARCA - LMŠ","others",1.8323,0.0,1.6357,0.0,"main.py",3,"2026-03-22 12:03:15"
"2026-03-22 12:03:15","Lista Borisa Popoviča - Digitalizirajmo Slovenijo","others",0.237,0.0,0.237,0.0,"main.py",3,"2026-03-22 12:03:15"
"2026-03-22 12:03:15","NAŠA DEŽELA stranka dr. ALEKSANDRE PIVEC","democrats",1.2774,0.0,1.1676,0.0,"main.py",3,"2026-03-22 12:03:15"
"2026-03-22 12:03:15","NAŠA PRIHODNOST IN DOBRA DRŽAVA","others",1.0982,0.0,0.9826,0.0,"main.py",3,"2026-03-22 12:03:15"
"2026-03-22 12:03:15","NESTRANKARSKA LJUDSKA LISTA GIBANJA ZDRAVA DRUŽBA","others",1.0866,0.0,0.9768,0.0,"main.py",3,"2026-03-22 12:03:15"
"2026-03-22 12:03:15","NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI","democrats",7.9706,7.9706,7.5718,7.5718,"main.py",3,"2026-03-22 12:03:15"
"2026-03-22 12:03:15","PIRATSKA STRANKA SLOVENIJE","others",1.0693,0.0,0.9653,0.0,"main.py",3,"2026-03-22 12:03:15"
"2026-03-22 12:03:15","POVEŽIMO SLOVENIJO (KONKRETNO, ZELENI, SLS, NLS, NS)","democrats",2.3525,0.0,2.2195,0.0,"main.py",3,"2026-03-22 12:03:15"
"2026-03-22 12:03:15","SLOVENSKA DEMOKRATSKA STRANKA - SDS","democrats",19.3052,19.3052,17.9585,17.9585,"main.py",3,"2026-03-22 12:03:15"
"2026-03-22 12:03:15","SLOVENSKA NACIONALNA STRANKA - SNS","others",1.6473,0.0,1.5606,0.0,"main.py",3,"2026-03-22 12:03:15"
"2026-03-22 12:03:15","SOCIALNI DEMOKRATI - SD","others",4.2078,4.2078,3.6819,0.0,"main.py",3,"2026-03-22 12:03:15"
"2026-03-22 12:03:15","STRANKA ALENKE BRATUŠEK","others",2.1328,0.0,1.9305,0.0,"main.py",3,"2026-03-22 12:03:15"
"2026-03-22 12:03:15","VESNA - zelena stranka","others",1.0924,0.0,0.9768,0.0,"main.py",3,"2026-03-22 12:03:15"
"2026-03-22 12:03:15","ZA LJUDSTVO SLOVENIJE  - ZLS","others",0.8843,0.0,0.8034,0.0,"main.py",3,"2026-03-22 12:03:15"
"2026-03-22 12:05:05","DOMOVINSKA LIGA - DOM","others",0.0751,0.0,0.0694,0.0,"main.py",3,"2026-03-22 12:05:05"
"2026-03-22 12:05:05","DeSUS - DEMOKRATIČNA STRANKA UPOKOJENCEV SLOVENIJE","others",0.5029,0.0,0.4682,0.0,"main.py",3,"2026-03-22 12:05:05"
"2026-03-22 12:05:05","Državljansko gibanje Resni.ca","others",2.1155,0.0,1.9825,0.0,"main.py",3,"2026-03-22 12:05:05"
"2026-03-22 12:05:05","GIBANJE SVOBODA","others",23.49,23.49,20.5826,20.5826,"main.py",3,"2026-03-22 12:05:05"
"2026-03-22 12:05:05","LEVICA","others",1.9652,0.0,1.7571,0.0,"main.py",3,"2026-03-22 12:05:05"
"2026-03-22 12:05:05","LISTA MARJANA ŠARCA - LMŠ","others",1.8323,0.0,1.6357,0.0,"main.py",3,"2026-03-22 12:05:05"
"2026-03-22 12:05:05","Lista Borisa Popoviča - Digitalizirajmo Slovenijo","others",0.237,0.0,0.237,0.0,"main.py",3,"2026-03-22 12:05:05"
"2026-03-22 12:05:05","NAŠA DEŽELA stranka dr. ALEKSANDRE PIVEC","democrats",1.2774,0.0,1.1676,0.0,"main.py",3,"2026-03-22 12:05:05"
"2026-03-22 12:05:05","NAŠA PRIHODNOST IN DOBRA DRŽAVA","others",1.0982,0.0,0.9826,0.0,"main.py",3,"2026-03-22 12:05:05"
"2026-03-22 12:05:05","NESTRANKARSKA LJUDSKA LISTA GIBANJA ZDRAVA DRUŽBA","others",1.0866,0.0,0.9768,0.0,"main.py",3,"2026-03-22 12:05:05"
"2026-03-22 12:05:05","NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI","democrats",7.9706,7.9706,7.5718,7.5718,"main.py",3,"2026-03-22 12:05:05"
"2026-03-22 12:05:05","PIRATSKA STRANKA SLOVENIJE","others",1.0693,0.0,0.9653,0.0,"main.py",3,"2026-03-22 12:05:05"
"2026-03-22 12:05:05","POVEŽIMO SLOVENIJO (KONKRETNO, ZELENI, SLS, NLS, NS)","democrats",2.3525,0.0,2.2195,0.0,"main.py",3,"2026-03-22 12:05:05"
"2026-03-22 12:05:05","SLOVENSKA DEMOKRATSKA STRANKA - SDS","democrats",19.3052,19.3052,17.9585,17.9585,"main.py",3,"2026-03-22 12:05:05"
"2026-03-22 12:05:05","SLOVENSKA NACIONALNA STRANKA - SNS","others",1.6473,0.0,1.5606,0.0,"main.py",3,"2026-03-22 12:05:05"
"2026-03-22 12:05:05","SOCIALNI DEMOKRATI - SD","others",4.2078,4.2078,3.6819,0.0,"main.py",3,"2026-03-22 12:05:05"
"2026-03-22 12:05:05","STRANKA ALENKE BRATUŠEK","others",2.1328,0.0,1.9305,0.0,"main.py",3,"2026-03-22 12:05:05"
"2026-03-22 12:05:05","VESNA - zelena stranka","others",1.0924,0.0,0.9768,0.0,"main.py",3,"2026-03-22 12:05:05"
"2026-03-22 12:05:05","ZA LJUDSTVO SLOVENIJE  - ZLS","others",0.8843,0.0,0.8034,0.0,"main.py",3,"2026-03-22 12:05:05"
"2026-03-22 12:10:07","DOMOVINSKA LIGA - DOM","others",0.0751,0.0,0.0694,0.0,"main.py",3,"2026-03-22 12:10:07"
"2026-03-22 12:10:07","DeSUS - DEMOKRATIČNA STRANKA UPOKOJENCEV SLOVENIJE","others",0.5029,0.0,0.4682,0.0,"main.py",3,"2026-03-22 12:10:07"
"2026-03-22 12:10:07","Državljansko gibanje Resni.ca","others",2.1155,0.0,1.9825,0.0,"main.py",3,"2026-03-22 12:10:07"
"2026-03-22 12:10:07","GIBANJE SVOBODA","others",23.49,23.49,20.5826,20.5826,"main.py",3,"2026-03-22 12:10:07"
"2026-03-22 12:10:07","LEVICA","others",1.9652,0.0,1.7571,0.0,"main.py",3,"2026-03-22 12:10:07"
"2026-03-22 12:10:07","LISTA MARJANA ŠARCA - LMŠ","others",1.8323,0.0,1.6357,0.0,"main.py",3,"2026-03-22 12:10:07"
"2026-03-22 12:10:07","Lista Borisa Popoviča - Digitalizirajmo Slovenijo","others",0.237,0.0,0.237,0.0,"main.py",3,"2026-03-22 12:10:07"
"2026-03-22 12:10:07","NAŠA DEŽELA stranka dr. ALEKSANDRE PIVEC","democrats",1.2774,0.0,1.1676,0.0,"main.py",3,"2026-03-22 12:10:07"
"2026-03-22 12:10:07","NAŠA PRIHODNOST IN DOBRA DRŽAVA","others",1.0982,0.0,0.9826,0.0,"main.py",3,"2026-03-22 12:10:07"
"2026-03-22 12:10:07","NESTRANKARSKA LJUDSKA LISTA GIBANJA ZDRAVA DRUŽBA","others",1.0866,0.0,0.9768,0.0,"main.py",3,"2026-03-22 12:10:07"
"2026-03-22 12:10:07","NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI","democrats",7.9706,7.9706,7.5718,7.5718,"main.py",3,"2026-03-22 12:10:07"
"2026-03-22 12:10:07","PIRATSKA STRANKA SLOVENIJE","others",1.0693,0.0,0.9653,0.0,"main.py",3,"2026-03-22 12:10:07"
"2026-03-22 12:10:07","POVEŽIMO SLOVENIJO (KONKRETNO, ZELENI, SLS, NLS, NS)","democrats",2.3525,0.0,2.2195,0.0,"main.py",3,"2026-03-22 12:10:07"
"2026-03-22 12:10:07","SLOVENSKA DEMOKRATSKA STRANKA - SDS","democrats",19.3052,19.3052,17.9585,17.9585,"main.py",3,"2026-03-22 12:10:07"
"2026-03-22 12:10:07","SLOVENSKA NACIONALNA STRANKA - SNS","others",1.6473,0.0,1.5606,0.0,"main.py",3,"2026-03-22 12:10:07"
"2026-03-22 12:10:07","SOCIALNI DEMOKRATI - SD","others",4.2078,4.2078,3.6819,0.0,"main.py",3,"2026-03-22 12:10:07"
"2026-03-22 12:10:07","STRANKA ALENKE BRATUŠEK","others",2.1328,0.0,1.9305,0.0,"main.py",3,"2026-03-22 12:10:07"
"2026-03-22 12:10:07","VESNA - zelena stranka","others",1.0924,0.0,0.9768,0.0,"main.py",3,"2026-03-22 12:10:07"
